Rk,Player,Tm,Age,Pos,Games,GS,FGA 0-19 ,FGM 0-19 ,FGA 20-29 ,FGM 20-29 ,FGA 30-39 ,FGM 30-39 ,FGA 40-49 ,FGM 40-49 ,FGA 50+ ,FGM 50+ ,FGA Scoring ,FGM Scoring ,Lng,FG%,XPA,XPM,XP%
1,Harrison Butker,KAN,24,K,16,0,,,9,9,10,9,13,13,6,3,38,34,56,89.5%,48,45,93.8%
2,Wil Lutz*,NOR,25,K,16,0,1,1,9,9,6,6,15,13,5,3,36,32,58,88.9%,49,48,98.0%
3,Zane Gonzalez,ARI,24,K,16,0,,,12,12,13,12,8,5,2,2,35,31,54,88.6%,35,34,97.1%
4,Matt Gay,TAM,25,K,16,0,,,6,6,7,5,14,11,8,5,35,27,58,77.1%,48,43,89.6%
5,Josh Lambo,JAX,29,K,16,0,,,12,12,9,9,9,8,4,4,34,33,56,97.1%,20,19,95.0%
6,Brandon McManus,DEN,28,K,16,0,,,6,6,9,9,12,10,7,4,34,29,53,85.3%,26,25,96.2%
7,Greg Zuerlein,LAR,32,K,16,0,,,7,7,8,7,11,5,7,5,33,24,58,72.7%,42,42,100.0%
8,Joey Slye,CAR,23,K,16,0,,,5,4,5,5,11,8,11,8,32,25,55,78.1%,35,31,88.6%
9,Chris Boswell,PIT,28,K,16,0,1,1,11,11,7,7,10,9,2,1,31,29,51,93.5%,28,28,100.0%
10,Randy Bullock,CIN,30,K,16,0,,,10,10,6,6,12,10,3,1,31,27,57,87.1%,25,24,96.0%
11,Robbie Gould,SFO,37,K,13,0,,,9,9,10,8,8,6,4,,31,23,47,74.2%,42,41,97.6%
12,Matt Prater,DET,35,K,16,0,,,11,11,3,2,9,6,8,7,31,26,56,83.9%,36,35,97.2%
13,Dustin Hopkins,WAS,29,K,16,0,,,8,7,9,8,10,8,3,2,30,25,53,83.3%,22,21,95.5%
14,Brett Maher,DAL,30,K,13,0,,,9,9,8,6,5,1,8,4,30,20,63,66.7%,36,36,100.0%
15,Jason Sanders,MIA,24,K,16,0,,,7,7,9,8,9,5,5,3,30,23,54,76.7%,30,29,96.7%
16,Austin Seibert,CLE,23,K,16,0,,,6,6,9,9,12,9,2,1,29,25,53,86.2%,35,30,85.7%
17,Dan Bailey,MIN,31,K,16,0,,,10,10,9,9,7,5,3,3,29,27,50,93.1%,44,40,90.9%
18,Justin Tucker*+,BAL,30,K,16,0,,,8,8,9,9,11,10,1,1,29,28,51,96.6%,59,57,96.6%
19,Stephen Hauschka,BUF,34,K,16,0,,,5,5,8,7,10,9,5,1,28,22,51,78.6%,32,30,93.8%
20,Jason Myers,SEA,28,K,16,0,,,6,6,11,11,7,4,4,2,28,23,54,82.1%,44,40,90.9%
21,Eddy Pineiro,CHI,24,K,16,0,1,1,8,8,10,9,7,3,2,2,28,23,53,82.1%,29,27,93.1%
22,Sam Ficken,NYJ,27,K,15,0,,,2,2,8,7,11,7,6,3,27,19,54,70.4%,26,23,88.5%
23,Daniel Carlson,OAK,24,K,16,0,,,8,8,6,5,10,6,2,,26,19,48,73.1%,36,34,94.4%
24,Jake Elliott,PHI,24,K,16,0,,,7,7,8,8,7,5,4,2,26,22,53,84.6%,37,35,94.6%
25,Younghoe Koo,ATL,25,K,8,0,,,6,6,10,9,9,7,1,1,26,23,50,88.5%,16,15,93.8%
26,Ka'imi Fairbairn,HOU,25,K,16,0,,,5,5,8,8,6,4,6,3,25,20,54,80.0%,45,40,88.9%
27,Adam Vinatieri,IND,47,K,12,0,,,7,6,6,6,7,3,5,2,25,17,55,68.0%,28,22,78.6%
28,Mason Crosby,GNB,35,K,16,0,1,1,2,2,11,11,8,7,2,1,24,22,54,91.7%,41,40,97.6%
29,Chase McLaughlin,3TM,23,K,11,0,1,1,5,5,4,4,10,5,3,3,23,18,50,78.3%,26,26,100.0%
30,Nick Folk,NWE,35,K,7,0,1,1,5,5,3,3,7,4,1,1,17,14,51,82.4%,12,12,100.0%
31,Aldrick Rosas,NYG,25,K,16,0,,,6,6,6,5,4,1,1,,17,12,45,70.6%,39,35,89.7%
32,Michael Badgley,LAC,24,K,8,0,,,5,5,2,2,8,6,1,,16,13,49,81.3%,19,19,100.0%
33,Matt Bryant,ATL,44,K,7,0,,,1,1,4,3,3,3,6,2,14,9,52,64.3%,15,14,93.3%
34,Kai Forbath,2TM,32,K,4,0,,,2,2,1,1,7,7,1,1,11,11,50,100.0%,12,11,91.7%
35,Ty Long,LAC,26,K,16,0,,,,,3,2,5,4,1,1,9,7,51,77.8%,9,9,100.0%
36,Cairo Santos,TEN,28,K,5,0,,,,,3,1,3,2,3,1,9,4,53,44.4%,12,12,100.0%
37,Stephen Gostkowski,NWE,35,K,4,0,,,3,3,3,3,2,1,,,8,7,41,87.5%,15,11,73.3%
38,Mike Nugent,NWE,37,K,4,0,,,4,3,3,2,1,,,,8,5,37,62.5%,16,15,93.8%
39,Ryan Succop,TEN,33,K,6,0,,,,,1,1,4,,1,,6,1,31,16.7%,25,24,96.0%
40,Cody Parkey,TEN,27,K,3,0,,,,,,,2,2,1,1,3,3,51,100.0%,6,5,83.3%
41,Kaare Vedvik,NYJ,25,K,1,0,,,,,,,1,,,,1,,,0.0%,1,,0.0%
78,Greg Joseph,TEN,25,K,2,0,,,,,,,,,,,,,,,9,9,100.0%
